;Davalos Leica Fluorescent Microscope Filters,,,,,,
;D.Sweeney (5 Jan 2014),,,,,,
;,,,,,,
;Position,Name,Excitation_center,Exciation_width,Dichroic,Emission_center,Emission_width
1,L5,470,40,500,525,50
2,Y3,545,40,565,610,75
3,Y5,620,60,660,700,75
4,F,490,15,500,525,20
4,R,560,25,580,605,30
5,BF,0,0,0,0,0
6,DAPI ET,350,50,400,460,50
