;Wavelength,Excitation,Emission
608,0.8129571,41.4268938
609,0.752393,42.5244719
610,0.7022215,43.6739824
611,0.6645929,44.795937
612,0.5991908,45.865959
613,0.5542157,46.942976
614,0.5070903,48.033347
615,0.487619,49.0425338
616,0.4722309,50.1678798
617,0.4532993,51.2680015
618,0.4174785,52.3342081
619,0.3925022,53.4040181
620,0.3663798,54.4642895
621,0,55.5764934
622,0,56.7037472
623,0,57.8418114
624,0,58.8863971
625,0,59.9473044
626,0,61.0482739
627,0,62.1460639
628,0,63.2033678
629,0,64.3102725
630,0,65.3393844
631,0,66.5709271
632,0,67.6038545
633,0,68.6692131
634,0,69.6923899
635,0,70.761352
636,0,71.7008008
637,0,72.7396633
638,0,73.8094733
639,0,74.8012786
640,0,75.7489942
641,0,76.6892909
642,0,77.5768072
643,0,78.4999343
644,0,79.3467524
645,0,80.2904406
646,0,81.121361
647,0,81.9936155
648,0,82.8325907
649,0,83.6897954
650,0,84.5018505
651,0,85.2808384
652,0,86.0098015
653,0,86.8487767
654,0,87.7189115
655,0,88.5017148
656,0,89.2143563
657,0,89.9411997
658,0,90.5686293
659,0,91.1860965
660,0,91.8902592
661,0,92.6143469
662,0,93.2850184
663,0,93.9294057
664,0,94.4260502
665,0,94.9860736
666,0,95.4897131
667,0,95.8981783
668,0,96.2532272
669,0,96.7602583
670,0,97.0820279
671,0,97.5343709
672,0,97.9564021
673,0,98.1959276
674,0,98.2966131
675,0,98.5117622
676,0,98.7803275
677,0,99.1370722
678,0,99.3125829
679,0,99.4259866
680,0,99.6275696
681,0,99.7823073
682,0,99.8418707
683,0,99.9440401
684,0,99.9773193
685,0,99.8796013
686,0,100
687,0,99.9900374
688,0,99.8696388
689,0,99.6284175
690,0,99.3409868
691,0,99.1616607
692,0,98.8239933
693,0,98.4943807
694,0,98.1622245
695,0,97.8413027
696,0,97.5661663
697,0,97.1112798
698,0,96.6807697
699,0,96.2087136
700,0,95.7133409
701,0,95.2728683
702,0,94.9017097
703,0,94.4222347
704,0,93.8446179
705,0,93.5398057
706,0,93.0914903
707,0,92.5747086
708,0,91.9979396
709,0,91.1994506
710,0,90.6440905
711,0,89.9685437
712,0,89.2713761
713,0,88.7914771
714,0,88.1362794
715,0,87.4297851
716,0,86.6673308
717,0,86.0445645
718,0,85.1460258
719,0,84.3912024
720,0,83.7639847
721,0,83.0825028
722,0,82.6070552
723,0,81.9825931
724,0,81.3797518
725,0,80.5869859
726,0,79.66937
727,0,78.8507438
728,0,78.1328031
729,0,77.4360594
730,0,76.646897
731,0,75.9764375
732,0,75.1662901
733,0,74.2342602
734,0,73.3177041
735,0,72.4125944
736,0,71.3879338
737,0,70.5419636
738,0,69.7396591
739,0,68.8873297
740,0,68.0956237
741,0,67.1453644
742,0,66.2862521
743,0,65.3961922
744,0,64.4571673
745,0,63.5225938
746,0,62.694429
747,0,61.8181471
748,0,60.8013295
749,0,60.0384513
750,0,59.1795509
751,0,58.296274
752,0,57.441613
753,0,56.5028001
754,0,55.7007075
755,0,54.7786403
756,0,53.9212236
757,0,53.1924725
758,0,52.3473502
759,0,51.4876019
760,0,50.7541874
761,0,49.9970324
762,0,49.1154513
763,0,48.3023363
764,0,47.5339469
765,0,46.7352459
766,0,45.9660086
767,0,45.163916
768,0,44.4731074
769,0,43.6913639
770,0,42.8405184
771,0,42.252303
772,0,41.49536
773,0,40.6741902
774,0,39.9276336
775,0,39.2514509
776,0,38.5962532
777,0,37.8997215
778,0,37.2720798
779,0,36.6211215
780,0,35.8569715
781,0,35.1530208
782,0,34.5014266
783,0,33.89371
784,0,33.1817045
785,0,32.6201973
786,0,32.0898496
787,0,31.5179559
788,0,30.8672096
789,0,30.2177351
790,0,29.5207794
791,0,28.9582123
792,0,28.3318425
793,0,27.8540633
794,0,27.3093016
795,0,26.7806497
796,0,26.257933
797,0,25.6885829
798,0,25.1643823
799,0,24.617713
800,0,24.0460313
801,0,23.5771548
802,0,23.0932284
803,0,22.6851871
804,0,22.1310989
805,0,21.6991051
806,0,21.1276353
807,0,20.6165769
808,0,20.1635981
809,0,19.6372778
810,0,19.2432265
811,0,18.7754098
812,0,18.3510469
813,0,18.0487784
814,0,17.676772
815,0,17.3170597
816,0,16.9450533
817,0,16.6661014
818,0,16.3460275
819,0,16.0467266
820,0,15.7041839
821,0,15.4159053
822,0,15.1564547
823,0,14.8022537
824,0,14.5536134
825,0,14.2863199
826,0,13.9639143
827,0,13.7165459
828,0,13.5119954
829,0,13.3053251
830,0,13.0810614
831,0,12.7840921
832,0,12.5882323
833,0,12.416325
834,0,12.2066872
835,0,11.9938698
836,0,11.7679104
837,0,11.5449185
838,0,11.3496946
839,0,11.1544706
840,0,10.9045586
841,0,10.7108185
842,0,10.5257691
843,0,10.3193108
844,0,10.1418924
845,0,10.0372854
846,0,9.9602538
847,0,9.8603757
848,0,9.7557546
849,0,9.7527694
850,0,9.6977557
851,0,0
852,0,0
853,0,0
854,0,0
855,0,0
856,0,0
857,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,0
